School Name,Level,Coordinates,Lat,Long,2024,2023,2022,2021,Difference
Lake Nona High,High,"28.38135565174782, -81.24548667592202",28.38135565,-81.24548668,2970,4545,4369,3945,-975
Lake Nona Middle,Middle,"28.367048028330007, -81.24554113997236",28.36704803,-81.24554114,1181,1749,1711,1534,-353
Roberto Clemente Middle,Middle,"28.53053701035662, -81.30312660899166",28.53053701,-81.30312661,768,836,950,987,-219
Moss Park Elementary,Elementary,"28.40947630269657, -81.21723785238069",28.4094763,-81.21723785,830,928,954,1026,-196
Colonial High,High,"28.553634871579565, -81.30226016088312",28.55363487,-81.30226016,3182,3479,3454,3372,-190
Andover Elementary,Elementary,"28.508444765800295, -81.22252761474682",28.50844477,-81.22252761,629,694,765,776,-147
Liberty Middle,Middle,"28.502061337911357, -81.2678958965179",28.50206134,-81.2678959,861,906,908,1002,-141
Cypress Springs Elementary,Elementary,"28.516503261719492, -81.23535949865853",28.51650326,-81.2353595,615,704,749,708,-93
NorthLake Park Elementary,Elementary,"28.42215085009621, -81.26162217960216",28.42215085,-81.26162218,599,645,663,679,-80
Vista Lakes Elementary,Elementary,"28.474406471138774, -81.271424616396",28.47440647,-81.27142462,512,543,596,591,-79
Vista Pointe Elementary,Elementary,"28.472265695544444, -81.28636387958431",28.4722657,-81.28636388,477,515,509,555,-78
Little River Elementary,Elementary,"28.546124516781617, -81.26961899197214",28.54612452,-81.26961899,363,412,382,422,-59
Ventura Elementary,Elementary,"28.500626752326223, -81.29758238266628",28.50062675,-81.29758238,565,571,577,621,-56
Innovation Middle,Middle,"28.42314850652028, -81.21069468330455",28.42314851,-81.21069468,1243,1329,1307,1284,-41
McCoy Elementary,Elementary,"28.485499718275413, -81.30791255605364",28.48549972,-81.30791256,451,440,481,485,-34
Stone Lakes Elementary,Elementary,"28.511520118632024, -81.16274825732668",28.51152012,-81.16274826,610,618,621,639,-29
Engelwood Elementary,Elementary,"28.528778060857217, -81.30326015793216",28.52877806,-81.30326016,542,531,547,551,-9
Three Points Elementary,Elementary,"28.49082367555489, -81.28306792018574",28.49082368,-81.28306792,444,471,445,448,-4
Chickasaw Elementary,Elementary,"28.525712964852453, -81.29534695322018",28.52571296,-81.29534695,540,518,511,540,0
Pinar Elementary,Elementary,"28.505126629935873, -81.27433723882925",28.50512663,-81.27433724,341,358,371,340,1
Village Park Elementary,Elementary,"28.386402597952426, -81.27501721419182",28.3864026,-81.27501721,592,649,576,589,3
Deerwood Elementary,Elementary,"28.524777830636886, -81.25553838640373",28.52477783,-81.25553839,470,494,481,455,15
Hidden Oaks Elementary,Elementary,"28.490713814451315, -81.25974541476975",28.49071381,-81.25974541,404,398,391,377,27
Forsyth Woods Elementary,Elementary,"28.560559597939154, -81.29691188422235",28.5605596,-81.29691188,509,494,474,474,35
Eagle Creek Elementary,Elementary,"28.36063195917985, -81.23952983673647",28.36063196,-81.23952984,820,831,803,751,69
Sun Blaze Elementary,Elementary,"28.434836286762092, -81.23449184751055",28.43483629,-81.23449185,1133,1179,1082,944,189
Odyssey Middle,Middle,"28.474374525822636, -81.25743763157267",28.47437453,-81.25743763,901,674,722,695,206
Laureate Park Elementary,Elementary,"28.366179015115563, -81.26813818530736",28.36617902,-81.26813819,1208,1160,1052,932,276
Innovation High,High,"28.443777464596746, -81.2143626400382",28.44377746,-81.21436264,1741,0,0,0,1741
